Location_id,Location,Address
L038,Besant Nagar," 51/2, MG Road, Vannandurai, Besant Nagar, Chennai"
L053,Selaiyur," Camp Road Junction, Opposite Bata Showroom, Selaiyur, Chennai"
L007,Anna Nagar East," 338/3, New Sunshine Apartments, Next to Santosh Supermarket, 2nd Avenue, Anna Nagar East, Chennai"
L025,Nungambakkam," 316,Gee Gee Emerald, Village Road, Nungambakkam, Chennai"
L011,Kilpauk," 240, Kilpauk Garden Road, Kilpauk, Chennai"
L032,Egmore," 24, Wellington Estate, Ethiraj Salai, Egmore, Chennai"
L055,Old Mahabalipuram Road (OMR)," 5/360, Okkiyum Thoraipakkam Rajiv Gandhi Salai, Old Mahabalipuram Road (OMR), Chennai"
L007,Anna Nagar East," 14, 1st Floor, Plot 4000, S-Block, 5th Avenue, Anna Nagar East, Chennai"
L142,"The Westin Chennai, Velachery"," 154, The Westin Chennai Velachery, Velachery Main Road, Velachery, Chennai"
L144,"The Park, Nungambakkam"," The Park, 601, Nungambakkam High Road, Nungambakkam, Chennai"
L090,Choolaimedu," 4, Khan Street, Choolaimedu High Road, Choolaimedu, Chennai"
L010,Porur," 156, 1st Floor, Niranjan Square, Mount Poonamallee Road, Porur, Chennai"
L008,T. Nagar," 60, Thirumalai Pillai Road, Rama Kamath Puram, T. Nagar, Chennai"
L149,"New Woodlands Hotel, Mylapore"," New Woodlands Hotel, 72/75, Dr. Radhakrishnan Salai, Mylapore, Chennai"
L024,Adyar," 13, 1st Crescent Road, Gandhinagar, Adyar, Chennai"
L025,Nungambakkam," 1, Kothari Road, Sterling Road, Opposite Sterling Club, Nungambakkam, Chennai"
L008,T. Nagar," Old 110/1 New 138, Habibullah Road, T. Nagar, Chennai"
L134,Abhiramapuram," Shop 22, 3rd Street, East Abhiramapuram, Chennai"
L007,Anna Nagar East," AH 177, 4th Avenue, Anna Nagar East, Chennai"
L070,Triplicane," 8, Bahar Agan Street, Anna Salai, Ellis Road, Behind Devi Theatre, Triplicane, Chennai"
L021,Alwarpet," 18/24,1st Cross Street, TTK Road, Alwarpet, Chennai"
L076,Poonamalle," NH-4, Kevlur Road, Thandalam, Near Queensland Theme Park, Sriperumbudur, Poonamalle, Chennai"
L020,RA Puram," 55, 2nd Main Road, Near Kaliappa Hospital, RA Puram, Chennai"
L021,Alwarpet," 1, Poes Garden, Kasturi Estate, 1st Street, Alwarpet, Chennai"
L021,Alwarpet," 11, Bawa Road, Alwarpet, Chennai"
L007,Anna Nagar East," T2, 4th Main Road, Anna Nagar East, Chennai"
L025,Nungambakkam," 10, Khader Nawaz Khan Road, Opposite Evoluzione, Nungambakkam, Chennai"
L058,Gopalapuram," 16/31, Thiruveethiyan Street, Gopalapuram, Chennai"
L041,Royapuram," 86/2, Cemetery Road, Royapuram, Chennai"
L026,Royapettah," Whites Road, Royapettah, Chennai "
L018,Mylapore," 20/3, Bishop Wallers Avenue, Mylapore, Chennai"
L024,Adyar," 41 & 42, 1st Main Road, Gandhi Nagar, Adyar, Chennai"
L130,East Coast Road (ECR)," 2/222, East Coast Road (ECR), Chennai"
L102,"OMR Food Street, Kandanchavadi"," 10, A2, 1st Floor, OMR Food Street, MGR Road, Perungudi, Chennai"
L058,Gopalapuram," 14, 6th Street, Gopalapuram, Chennai"
L070,Triplicane," 22, Mohammed Abdullah, 2nd Street, Opposite Chepauk Stadium, Chepauk, Triplicane, Chennai"
L023,West Mambalam," 1, Subba Street, West Mambalam, Chennai"
L025,Nungambakkam," H M Centre 29, Nungambakkam High Road, Nungambakkam, Chennai"
L008,T. Nagar," 23 A, North Boag Road, Near Pazhamudir Nilayam, T. Nagar, Chennai"
L038,Besant Nagar," 31, 4th Main Road, Besant Nagar, Chennai"
L007,Anna Nagar East," 39, Q Block, 6th Avenue, Anna Nagar East, Chennai"
L008,T. Nagar," 90, G N Chetty Road, T. Nagar, Chennai"
L166,"Green Meadows Resorts, Palavakkam"," Green Meadows Resorts, 4/364 A, East Coast Road, Palavakkam, Chennai"
L015,"Phoenix Market City, Velachery"," Upper Ground Floor, Phoenix Market City, Velachery Main Road, Velachery, Chennai"
L090,Choolaimedu," 2/247, Perinbavilas Complex, Opposite Chitra Apartments, Choolaimedu, Chennai"
L032,Egmore," 5, Casa Major Road, Opposite Corporation Bank, Egmore, Chennai"
L058,Gopalapuram," 73, Cathedral Road, Gopalapuram, Chennai"
L013,Ashok Nagar," 82, Old 76, 4th Avenue, Ashok Nagar, Chennai"
L168,"TNHB Complex, Besant Nagar"," 1 & 2, TNHB Complex, 4th Main Road, Besant Nagar, Chennai"
L024,Adyar," 26, Sardar Patel Road, Adyar, Chennai"
L038,Besant Nagar," E37, 2nd Avenue, Besant Nagar, Chennai"
L021,Alwarpet," 40, Maharaja Surya Rao Road, Dutch Village, Alwarpet, Chennai"
L018,Mylapore," 25, Dr Radhakrishnan Salai, Mylapore, Chennai"
L024,Adyar," 44, 1st Main Road, Near Fortis Hospital, Adyar, Chennai"
L025,Nungambakkam," 3, College Lane, Nungambakkam, Chennai"
L025,Nungambakkam," Khader Nawaz Khan Road, Nungambakkam, Chennai"
L025,Nungambakkam," 1, Kothari Road, Sterling Road, Opposite Sterling Club, Nungambakkam, Chennai"
L020,RA Puram," 18/7, Corporation New Complex, 3rd Cross Road, RA Puram, Chennai"
L008,T. Nagar," 58-A, Habibullah Road, T. Nagar, Chennai"
L021,Alwarpet," 154, T.T.K Road, Alwarpet, Chennai"
L012,Purasavakkam," 22, Raja Annamalai Road, Purasavakkam, Chennai"
L025,Nungambakkam," 82, Valluvarkottam High Road, Nungambakkam, Chennai"
L024,Adyar," 15, 1st Floor, Sardar Patel Road, Near Ramkay TVS Showroom, Adyar, Chennai"
L018,Mylapore," 113, R K Salai, Mylapore, Chennai"
L032,Egmore," 114/9, Poonamallee High Road, Opposite Hotel Abu Palace, Egmore, Chennai"
L177,Kanathur," New 141, Old 191, Opposite HP Fuel Station, East Coast Road, Uthandi, Kanathur, Chennai"
L048,Neelangarai," 2/520, Sundeep Road, Neelangarai, Chennai"
L007,Anna Nagar East," Q 88, Q Block, 3rd Main Road, Anna Nagar East, Chennai"
L043,Grand by GRT Hotels," Grand by GRT Hotels, 120, Sir Thyagaraya Road, T. Nagar, Chennai"
L077,GST Road," 31, Plot 9, Urapakkam, Near Vandalur Zoo, GST Road, Chennai"
L021,Alwarpet," 5B, Ramachandra Avenue, Seethammal Colony, Alwarpet, Chennai"
L020,RA Puram," 106, Chamiers Road, Opposite Crowne Plaza, RA Puram, Chennai"
L058,Gopalapuram," 98, Peter's Road, Behind Philip's Service Centre, Gopalapuram, Chennai"
L032,Egmore," 12/1, Opposite Royal Enfield Showroom, Egmore, Chennai"
L032,Egmore," 46, 2nd Floor, Prince Plaza, Pantheon Road, Egmore, Chennai"
L120,MRC Nagar," Somerset Greenway, Lords Avenue, MRC Nagar, Chennai"
L025,Nungambakkam," 39, College Road, Nungambakkam, Chennai"
L024,Adyar," 13, 1st Crescent Road, Gandhi Nagar, Adyar, Chennai"
L181,"Hablis Hotel, Guindy"," Hablis Hotel, 19, Guindy, Chennai"
L183,"Paati Veedu, T.Nagar"," 2, Bagirathi Ammal Street, T. Nagar, Chennai"
L003,Kodambakkam," 17/5, Station View Road, Kodambakkam, Chennai"
L011,Kilpauk," 86/59, New Avadi Road, Kilpauk, Chennai"
L032,Egmore," 1, Halls Road, Egmore, Chennai"
L187,"The Savera Hotel, RK Salai (Cathedral Road)"," 146, RK Salai, Mylapore, Chennai"
L008,T. Nagar," 15 & 16, Dr. Nair Road, Pondy Bazaar, T. Nagar, Chennai"
L040,Semmancheri," 1/277, OMR, Semmancheri Village, Semmancheri, Chennai"
L189,"Kipling, East Coast Road (ECR)"," 16, L Jey Avenue, East Coast Road (ECR), Akkarai, Chennai"
L191,Somerset Greenways," Shop 94, Somerset Greenways, Sathyadev Avenue, Santhome, MRC Nagar, Chennai"
L058,Gopalapuram," 73, Cathedral Road, Gopalapuram, Chennai"
L018,Mylapore," 27/28, Dwarka Colony, Near Syndicate Bank, Dr. Radhakrishnan Salai, Mylapore, Chennai"
L021,Alwarpet," 253, TTK Road, Near Narada Ghana Sabha, Alwarpet, Chennai"
L024,Adyar," 34/29, 2nd Main Road, Kasturibai Nagar, Adyar, Chennai"
L009,Vadapalani," 18, L.V Prasad Road, Dhanalakshmi Colony, Vadapalani, Chennai"
L015,"Phoenix Market City, Velachery"," 142, 31, Upper Ground Floor, Phoenix Market City, Velachery Main Road, Velachery, Chennai"
L025,Nungambakkam," 19, 3rd Street, Wallace Garden Road, Nungambakkam, Chennai"
L058,Gopalapuram," 71, Cathedral Road, Gopalapuram, Chennai"
L038,Besant Nagar," 13, 1st Floor, 5th Avenue, Besant Nagar, Chennai"
L018,Mylapore," 100, Venkatachalam, St. Dwarka Colony, Mylapore, Chennai"
L015,"Phoenix Market City, Velachery"," 1st Floor, Phoenix Market City, Velachery Main Road, Velachery, Chennai"
L268,Velachery," 137, 1st Floor, Plot 3, Grand Arcade, Seetharaman Nagar Main Road, Velachery, Chennai"
L024,Adyar," 23/10, 3rd Main Road, Kasturba Nagar, Adyar, Chennai"
L197,"The Spring Hotel, Nungambakkam"," The Spring Hotel, 11, Kodambakkam High Road, Nungambakkam, Chennai"
L021,Alwarpet," 96A, TTK Road, Near LG Showroom, Alwarpet, Chennai"
L009,Vadapalani," 51, 2nd Floor, Arunachalam Road, Vadapalani, Chennai"
L021,Alwarpet," 94/1, Door 211/1, TTK Road, Near Ethiraj Kalayana Mandapam, Alwarpet, Chennai"
L047,Mahabalipuram," 34, Othavadai Street, Next To Kamaraj Ayurvedic, Mahabalipuram, Chennai"
L077,GST Road," 30, Urapakkam, Opposite VGP Ground, GST Road, Chennai"
L025,Nungambakkam," 21, Opposite MRF Building, Greams Road, Nungambakkam, Chennai"
L025,Nungambakkam," 16/32, KNK Road, Nungambakkam, Chennai"
L011,Kilpauk," 12 & 14, 1st Floor, Balfour Road, Windsor Palace, Near Uma Complex, Kellys, Kilpauk, Chennai"
L201,"Hilton Chennai, Guindy"," Hilton, 124/1, JN Salai, Guindy, Chennai"
L203,"GLM Meridian Hotel, T. Nagar"," GLM Meridian Hotel, 80 A, Chevalier Sivaji Ganesan  Salai, South Boag Road, Near Nandanam Signal, T. Nagar, Chennai"
L204,Foodies Kitchen," 24, Cenotaph Road, Opposite Lanson Toyota, Teynampet, Chennai"
L008,T. Nagar," 27/2, Sivagnanam Street, Pondy Bazaar, T. Nagar, Chennai"
L029,Valasaravakkam," 6, Sannadhi Street, Kamakshi Nagar, Valasaravakkam, Chennai"
L024,Adyar," New 40, Old 71A, B. Ramachandra Adithanar Road, Gandhi Nagar, Adyar, Chennai"
L268,Velachery," 31, Pandian Street, 100 Feet Bypass Road, Velachery, Chennai"
L037,Perungudi," 74/B, 2nd Main Road, Tirumalai Nagar Annex, Perungudi, Chennai"
L025,Nungambakkam," 1632, Platinum Tower, Khader Nawaz Khan Road, Nungambakkam, Chennai"
L008,T. Nagar," 10, Kuppuswamy Street, G N Chetty Road, T. Nagar, Chennai"
L019,Thuraipakkam," 5 & 3, Vinayagam Avenue, Okkiyam, Thuraipakkam, Chennai"
L268,Velachery," Old 56, New 163, 1st Floor, Velachery Main Road, Opposite The Westin Hotel, Velachery, Chennai"
L197,"The Spring Hotel, Nungambakkam"," The Spring Hotel, Kodambakkam High Road, Nungambakkam, Chennai"
L008,T. Nagar," 6, Govindan Street, G N Chetty Road, T. Nagar, Chennai"
L197,"The Spring Hotel, Nungambakkam"," The Spring Hotel, 11, Kodambakkam High Road, Near Nungambakkam, Chennai"
L019,Thuraipakkam," 1, 200 Feet Radial Road, MRK Arcade 3F, Thuraipakkam, Chennai"
L024,Adyar," 18, 5th Cross Street, Indira Nagar, Adyar, Chennai"
L208,"Green Park Hotel, Vadapalani"," Green Park Hotel, 183, NSK Salai, Arcot Road, Vadapalani, Chennai"
L048,Neelangarai," 4/359, Gatsby Village, East Coast Road, Neelangarai, Chennai"
L038,Besant Nagar," 15/4, 1st Floor, 4th Main Road, Elliot's Promenade, Besant Nagar, Chennai"
L016,Aminijikarai," 26, 1st Floor, Nelson Manickam Road, Near Mehta Nagar Bus Stop, Aminijikarai, Chennai"
L021,Alwarpet," 146, TTK Road, Alwarpet, Chennai"
L008,T. Nagar," 15, Natesan Street, T. Nagar, Chennai"
L041,Royapuram," 114, SN Chetty Street, Kalmandapam, Royapuram, Chennai"
L063,Egatoor," 4/216, Doctor Ambedkar Street, Siruseri, Egatoor, Chennai"
L010,Porur," 69 J, Arcot Road, Near Reliance Fresh, Porur, Chennai"
L115,"Express Avenue Mall,Royapettah"," Upper Ground Floor, Express Avenue, Whites Road, Royapettah, Chennai"
L036,Sholinganallur," 9, Kamala Nagar, Sholinganallur, Chennai"
L003,Kodambakkam," 23 Station View Road, Kodambakkam, Chennai"
L044,Ambattur," 6/A, 1st Floor, Saraswathi Nagar, Radha Poongavanam Building, MTH Road, Near Vivekananda School, Ambattur, Chennai"
L010,Porur," 1/293, Mariamman Koil Street, Mugalivakkam, Chennai"
L024,Adyar," 3A, 2nd Main Road, Kasturibai Nagar, Adyar, Chennai"
L024,Adyar," New 8/2, Old 5/2, MG Road, Adyar, Chennai"
L031,Potheri," 29/A, Pillaiyar Koil Street, SRM Back Gate, Potheri, Chennai"
L144,"The Park, Nungambakkam"," The Park, 601, Nungambakkam High Road, Nungambakkam, Chennai"
L090,Choolaimedu," 2/27, Andavar Street, Anna Nedum Pathai, Choolaimedu, Chennai"
L195,"The Raintree, Teynampet"," The Raintree, 636, Anna Salai, Teynampet, Chennai"
L011,Kilpauk," New 472, Old 21, Kilpauk Garden Road, New Town Building, Kilpauk, Chennai"
L006,Navallur," OMR Food Street, Navallur, Chennai"
L001,Pallavaram," Service Road, Raja Joseph Colony, Pallavaram, Chennai"
L031,Potheri," 19, Bajanai Koil Street, SRM Back Gate, Potheri, Chennai"
L213,"Sathyam Cinemas Complex, Royapettah"," 8, 1st Floor, Sathyam Cinemas Complex, Thiruvika Road, Royapettah, Chennai"
L268,Velachery," 18/11, Nagendra Nagar, Velachery, Chennai"
L019,Thuraipakkam," 1/155A, 200 Feet Road, Thuraipakkam, Chennai"
L009,Vadapalani," New 17, Old 16, Palani Andavar Koil Street, Vadapalani, Chennai"
L092,Shenoy Nagar," 1, Bharathi Puram, Brewery Road, Shenoy Nagar, Chennai"
L208,"Green Park Hotel, Vadapalani"," Green Park Hotel, 183, NSK Salai, Arcot Road, Vadapalani, Chennai"
L025,Nungambakkam," 142, Uttamar Gandhi Salai, Nungambakkam High Road, Nungambakkam, Chennai"
L053,Selaiyur," 185-A, Velachery Tambaram Main Road, Easwari Nagar, Selaiyur, Chennai"
L023,West Mambalam," 6, Govindan Road, Opposite Petrol Bunk, West Mambalam, Chennai"
L018,Mylapore," 100/1, Dr Radhakrishnan Salai, 8th Street, Radha Krishnan Corner, Mylapore, Chennai"
L216,Citadines," Citadines, 290, Rajiv Gandhi Salai, Old Mahabalipuram Road (OMR), IT Expressway, Sholinganallur, Chennai"
L037,Perungudi," Old 5/245, New 5/646, Santosh Nagar Main Road, Near Royal Enfield Showroom Kandanchavadi, OMR, Perungudi, Chennai"
L217,"Taj Fisherman's Cove Resort & Spa, Kanchipuram District"," Vivanta by Taj  Fisherman's Cove, Covelong Beach, Off East Coast Road, Kovalam, Chennai"
L048,Neelangarai," 5/24, Blue Beach Road, Neelangarai, Chennai"
L204,Foodies Kitchen," 24, Cenotaph Road, Opposite Lanson Toyota, Teynampet, Chennai"
L025,Nungambakkam," 19/8, Pushpa Nagar, Main Road, Nungambakkam, Chennai"
L219,"Courtyard by Marriott, Teynampet"," 564, Courtyard by Marriott, Teynampet, Teynampet, Chennai"
L007,Anna Nagar East," Croma Building, 2nd Avenue, 2nd Floor, Anna Nagar East, Chennai"
L025,Nungambakkam," 18/24, Khader Nawaskhan Road, Nungambakkam, Chennai"
L009,Vadapalani," Green Park Hotel basement, 183, NSK, Vadapalani, Chennai"
L015,"Phoenix Market City, Velachery"," G-13, Ground Floor, Phoenix Market City, Velachery Road, Velachery, Chennai"
L045,Thousand Lights," 5, P.T Street, Greams Road, Thousand Lights, Chennai"
L137,"Hotel Rajpark, Alwarpet"," 180, TTK Road, Alwarpet, Chennai"
L077,GST Road," 9, Near PSBB Millennium School, GST Road, Chennai"
L005,Medavakkam," Shop D-2B, Survey 52 & 53, 200 Feet Radial Road, Kovilambakkam, Medavakkam, Chennai"
L027,Chromepet," 130, GST Road, Opposite Vasan Dental Care, Chromepet, Chennai"
L121,St. Thomas Mount," 5/15, Mount Poonamalle Road, Butt Road, St. Thomas Mount, Chennai"
L032,Egmore," G1, 53, Wellington Estate, Near Ethiraj College For Women, Egmore, Chennai"
L021,Alwarpet," 5, Murrays Gate Road, Alwarpet, Chennai"
L024,Adyar," 24/49, 1st Floor, 1st Main Road, Gandhi Nagar, Adyar, Chennai"
L187,"The Savera Hotel, RK Salai (Cathedral Road)"," The Savera Hotel, 146, RK Salai, Mylapore, Chennai"
L007,Anna Nagar East," AC 2, 4909, Basement, Teja Towers, 2nd Avenue, Opposite Ayyappan Temple, Anna Nagar East, Chennai"
L037,Perungudi," 4/991-A, Kamarajar Street, Kandanchavadi, Off OMR, Opposite Waves Mall, Perungudi, Chennai"
